              X,              Y,
2.67750000e+001,-1.00207038e+002,
2.69500000e+001,-8.87431519e+001,
2.71250000e+001,-7.83942062e+001,
2.73000000e+001,-6.92302352e+001,
2.74750000e+001,-6.11968945e+001,
2.76500000e+001,-5.40662161e+001,
2.78250000e+001,-4.77182152e+001,
2.80000000e+001,-4.21179341e+001,
2.81750000e+001,-3.71788143e+001,
2.83500000e+001,-3.28024216e+001,
2.85250000e+001,-2.89327213e+001,
2.87000000e+001,-2.55203603e+001,
2.88750000e+001,-2.25065582e+001,
2.90500000e+001,-1.98439342e+001,
2.92250000e+001,-1.74952767e+001,
2.94000000e+001,-1.54234458e+001,
2.95750000e+001,-1.35950400e+001,
2.97500000e+001,-1.19824432e+001,
2.99250000e+001,-1.05604735e+001,
3.01000000e+001,-9.30634083e+000,
3.02750000e+001,-8.20042703e+000,
3.04500000e+001,-7.22531047e+000,
3.06250000e+001,-6.36541175e+000,
3.08000000e+001,-5.60709794e+000,
3.09750000e+001,-4.93832598e+000,
3.11500000e+001,-4.34841741e+000,
3.13250000e+001,-3.82797368e+000,
3.15000000e+001,-3.36870122e+000,
3.16750000e+001,-2.96327035e+000,
3.18500000e+001,-2.60521715e+000,
3.20250000e+001,-2.28883375e+000,
3.22000000e+001,-2.00907667e+000,
3.23750000e+001,-1.76148778e+000,
3.25500000e+001,-1.54212179e+000,
3.27250000e+001,-1.34748422e+000,
3.29000000e+001,-1.17446973e+000,
3.30750000e+001,-1.02031687e+000,
3.32500000e+001,-8.82569546e-001,
3.34250000e+001,-7.59012228e-001,
3.36000000e+001,-6.47676647e-001,
3.37750000e+001,-5.46798779e-001,
3.39500000e+001,-4.54697676e-001,
3.41250000e+001,-3.70054003e-001,
3.43000000e+001,-2.91520151e-001,
3.44750000e+001,-2.17769557e-001,
3.46500000e+001,-1.48966398e-001,
3.48250000e+001,-8.60794433e-002,
