              X,              Y,
2.92250000e+001,-3.26825005e+000,
2.94000000e+001,-2.87682398e+000,
2.95750000e+001,-2.53835259e+000,
2.97500000e+001,-2.24416413e+000,
2.99250000e+001,-1.98819177e+000,
3.01000000e+001,-1.76473038e+000,
3.02750000e+001,-1.56890330e+000,
3.04500000e+001,-1.39696979e+000,
3.06250000e+001,-1.24564318e+000,
3.08000000e+001,-1.11207740e+000,
3.09750000e+001,-9.93940069e-001,
3.11500000e+001,-8.89212696e-001,
3.13250000e+001,-7.96145971e-001,
3.15000000e+001,-7.13254981e-001,
3.16750000e+001,-6.39251472e-001,
3.18500000e+001,-5.73015970e-001,
3.20250000e+001,-5.13578654e-001,
3.22000000e+001,-4.60094210e-001,
3.23750000e+001,-4.11823598e-001,
3.25500000e+001,-3.68119305e-001,
3.27250000e+001,-3.28410865e-001,
3.29000000e+001,-2.92194389e-001,
3.30750000e+001,-2.59027473e-001,
3.32500000e+001,-2.28507879e-001,
3.34250000e+001,-2.00275583e-001,
3.36000000e+001,-1.74030708e-001,
3.37750000e+001,-1.49443990e-001,
3.39500000e+001,-1.26277815e-001,
3.41250000e+001,-1.04367714e-001,
3.43000000e+001,-8.32521307e-002,
3.44750000e+001,-6.32294806e-002,
3.46500000e+001,-4.41167870e-002,
3.48250000e+001,-2.58394238e-002,
