              X,              Y,
1.62750000e+001,1.10521144e+001,
1.64500000e+001,1.14058945e+001,
1.66250000e+001,1.17603284e+001,
1.68000000e+001,1.21153802e+001,
1.69750000e+001,1.24709874e+001,
1.71500000e+001,1.28270714e+001,
1.73250000e+001,1.31834902e+001,
1.75000000e+001,1.35400259e+001,
1.76750000e+001,1.38965086e+001,
1.78500000e+001,1.42526388e+001,
1.80250000e+001,1.46080340e+001,
1.82000000e+001,1.49622271e+001,
1.83750000e+001,1.53145957e+001,
1.85500000e+001,1.56643796e+001,
1.87250000e+001,1.60105985e+001,
1.89000000e+001,1.63520401e+001,
1.90750000e+001,1.66871430e+001,
1.92500000e+001,1.70140203e+001,
1.94250000e+001,1.73302855e+001,
1.96000000e+001,1.76329711e+001,
1.97750000e+001,1.79184546e+001,
1.99500000e+001,1.81822524e+001,
2.01250000e+001,1.84189475e+001,
2.03000000e+001,1.86219593e+001,
2.04750000e+001,1.87833503e+001,
2.06500000e+001,1.88937572e+001,
2.08250000e+001,1.89418853e+001,
2.10000000e+001,1.89146084e+001,
2.11750000e+001,1.87966429e+001,
2.13500000e+001,1.85701808e+001,
2.15250000e+001,1.82146931e+001,
2.17000000e+001,1.77064766e+001,
2.18750000e+001,1.70182149e+001,
2.20500000e+001,1.61181274e+001,
2.22250000e+001,1.49690394e+001,
2.24000000e+001,1.35268195e+001,
2.25750000e+001,1.17387183e+001,
2.27500000e+001,9.54218417e+000,
2.29250000e+001,6.86878886e+000,
2.31000000e+001,3.67187517e+000,
2.32750000e+001,4.73158137e-002,
2.34500000e+001,-3.41971546e+000,
2.36250000e+001,-5.64326889e+000,
2.38000000e+001,-6.69933096e+000,
2.39750000e+001,-7.73899999e+000,
2.41500000e+001,-9.31578575e+000,
2.43250000e+001,-1.13460097e+001,
2.45000000e+001,-1.33666266e+001,
2.46750000e+001,-1.49477439e+001,
2.48500000e+001,-1.62374590e+001,
2.50250000e+001,-1.76526019e+001,
2.52000000e+001,-1.92968539e+001,
2.53750000e+001,-2.09334656e+001,
2.55500000e+001,-2.23577617e+001,
2.57250000e+001,-2.36869323e+001,
2.59000000e+001,-2.51105829e+001,
2.60750000e+001,-2.65963908e+001,
2.62500000e+001,-2.79986928e+001,
2.64250000e+001,-2.93176993e+001,
2.66000000e+001,-3.06627924e+001,
2.67750000e+001,-3.20425055e+001,
2.69500000e+001,-3.33808234e+001,
2.71250000e+001,-3.46742516e+001,
2.73000000e+001,-3.59781547e+001,
2.74750000e+001,-3.72903834e+001,
2.76500000e+001,-3.85745373e+001,
2.78250000e+001,-3.98398403e+001,
2.80000000e+001,-4.11099730e+001,
2.81750000e+001,-4.23737291e+001,
2.83500000e+001,-4.36198982e+001,
2.85250000e+001,-4.48602795e+001,
2.87000000e+001,-4.60988037e+001,
2.88750000e+001,-4.73273301e+001,
2.90500000e+001,-4.85476241e+001,
2.92250000e+001,-4.97646517e+001,
2.94000000e+001,-5.09757375e+001,
2.95750000e+001,-5.21796645e+001,
2.97500000e+001,-5.33767031e+001,
2.99250000e+001,-5.45639382e+001,
3.01000000e+001,-5.57458680e+001,
3.02750000e+001,-5.69244650e+001,
