              X,              Y,
1.26000000e+001,-9.31300609e-002,
1.27750000e+001,-9.95651435e-002,
1.29500000e+001,-1.06168684e-001,
1.31250000e+001,-1.12946793e-001,
1.33000000e+001,-1.19904802e-001,
1.34750000e+001,-1.27049477e-001,
1.36500000e+001,-1.34386843e-001,
1.38250000e+001,-1.41923744e-001,
1.40000000e+001,-1.49668122e-001,
1.41750000e+001,-1.57626654e-001,
1.43500000e+001,-1.65807539e-001,
1.45250000e+001,-1.74219130e-001,
1.47000000e+001,-1.82870580e-001,
1.48750000e+001,-1.91770901e-001,
1.50500000e+001,-2.00930065e-001,
1.52250000e+001,-2.10358664e-001,
1.54000000e+001,-2.20067965e-001,
1.55750000e+001,-2.30069732e-001,
1.57500000e+001,-2.40376848e-001,
1.59250000e+001,-2.51002741e-001,
1.61000000e+001,-2.61961986e-001,
1.62750000e+001,-2.73270154e-001,
1.64500000e+001,-2.84944082e-001,
1.66250000e+001,-2.97001602e-001,
1.68000000e+001,-3.09462399e-001,
1.69750000e+001,-3.22347447e-001,
1.71500000e+001,-3.35679698e-001,
1.73250000e+001,-3.49483442e-001,
1.75000000e+001,-3.63786504e-001,
1.76750000e+001,-3.78617480e-001,
1.78500000e+001,-3.94008904e-001,
1.80250000e+001,-4.09995770e-001,
1.82000000e+001,-4.26616809e-001,
1.83750000e+001,-4.43913856e-001,
1.85500000e+001,-4.61933340e-001,
1.87250000e+001,-4.80725958e-001,
1.89000000e+001,-5.00347302e-001,
1.90750000e+001,-5.20857886e-001,
1.92500000e+001,-5.42324197e-001,
1.94250000e+001,-5.64817397e-001,
1.96000000e+001,-5.88415281e-001,
1.97750000e+001,-6.13200318e-001,
1.99500000e+001,-6.39260127e-001,
2.01250000e+001,-6.66685654e-001,
2.03000000e+001,-6.95570337e-001,
2.04750000e+001,-7.26007546e-001,
2.06500000e+001,-7.58088070e-001,
2.08250000e+001,-7.91894768e-001,
2.10000000e+001,-8.27499827e-001,
2.11750000e+001,-8.64957066e-001,
2.13500000e+001,-9.04295726e-001,
2.15250000e+001,-9.45510573e-001,
2.17000000e+001,-9.88550999e-001,
2.18750000e+001,-1.03330478e+000,
2.20500000e+001,-1.07957578e+000,
2.22250000e+001,-1.12704587e+000,
2.24000000e+001,-1.17521501e+000,
2.25750000e+001,-1.22328611e+000,
2.27500000e+001,-1.26994822e+000,
2.29250000e+001,-1.31293613e+000,
2.31000000e+001,-1.34816570e+000,
2.32750000e+001,-1.36854428e+000,
2.34500000e+001,-1.36629492e+000,
2.36250000e+001,-1.34960641e+000,
2.38000000e+001,-1.34424940e+000,
2.39750000e+001,-1.35572146e+000,
2.41500000e+001,-1.37311328e+000,
2.43250000e+001,-1.38575929e+000,
2.45000000e+001,-1.38902131e+000,
2.46750000e+001,-1.38849262e+000,
2.48500000e+001,-1.39280381e+000,
2.50250000e+001,-1.40178558e+000,
2.52000000e+001,-1.40950050e+000,
2.53750000e+001,-1.41279866e+000,
2.55500000e+001,-1.41483944e+000,
2.57250000e+001,-1.41941607e+000,
2.59000000e+001,-1.42524590e+000,
2.60750000e+001,-1.42928723e+000,
2.62500000e+001,-1.43176199e+000,
2.64250000e+001,-1.43503036e+000,
2.66000000e+001,-1.43919759e+000,
2.67750000e+001,-1.44260167e+000,
2.69500000e+001,-1.44513052e+000,
2.71250000e+001,-1.44799376e+000,
